0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1.0,1.0,1.0,1.0,0.05,105.625,60.8438,60.8438,0.0647,0.0366,0.0004,105.625,60.8438,0.0647,0.0647,1e-04,105.625,0.0366,0.0647,0.0004,61.2812,0.0045,0.0145,61.2812,0.0145,61.2812,3.1416,1.0,1.0,156.4378,60.8442,60.8442,18.6085,21.5071,21.5674,156.4378,60.8442,21.5071,18.6085,21.5674,156.1483,21.5607,21.5607,18.7642,61.2817,18.7642,18.6085,61.2817,18.6085,61.2817,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.02,0.027,0.0054,0.0054,-0.0004,0.0,-0.0647,0.027,0.0054,-0.0004,-0.0004,-0.0366,0.027,-0.0,-0.0004,-0.0647,0.063,-0.0145,-0.0045,0.063,-0.0045,0.063,-3.1416,-0.8,-0.8,0.027,-6.9981,-6.998,-18.6085,-21.5071,-21.5674,0.027,-6.998,-21.5071,-18.6085,-21.5674,0.027,-21.5607,-21.5607,-18.7642,0.0044,-18.7642,-18.6085,0.0044,-18.6085,0.0044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
